id,identifier,generation_id,type_id,power,pp,accuracy,priority,target_id,damage_class_id,effect_id,effect_chance,contest_type_id,contest_effect_id,super_contest_effect_id
398,poison-jab,4,4,80,20,100,0,10,2,3,30,4,-127,4
399,dark-pulse,4,17,80,15,100,0,10,3,32,20,1,-127,17
400,night-slash,4,17,70,15,100,0,10,2,44,-127,2,-127,5
401,aqua-tail,4,11,90,10,90,0,10,2,1,-127,3,-127,5
402,seed-bomb,4,12,80,15,100,0,10,2,1,-127,4,-127,5
403,air-slash,4,3,75,15,95,0,10,3,32,30,1,-127,17
404,x-scissor,4,7,80,15,100,0,10,2,1,-127,2,-127,17
405,bug-buzz,4,7,90,10,100,0,10,3,73,10,3,-127,4
406,dragon-pulse,4,16,85,10,100,0,10,3,1,-127,4,-127,4
407,dragon-rush,4,16,100,10,75,0,10,2,32,20,1,-127,18
408,power-gem,4,6,80,20,100,0,10,3,1,-127,2,-127,5
409,drain-punch,4,2,75,10,100,0,10,2,4,-127,2,-127,20
410,vacuum-wave,4,2,40,30,100,1,10,3,104,-127,4,-127,1
411,focus-blast,4,2,120,5,70,0,10,3,73,10,1,-127,17
412,energy-ball,4,12,90,10,100,0,10,3,73,10,2,-127,17
413,brave-bird,4,3,120,15,100,0,10,2,199,-127,3,-127,18
414,earth-power,4,5,90,10,100,0,10,3,73,10,4,-127,18
415,switcheroo,4,17,-127,10,100,0,10,1,178,-127,1,-127,12
416,giga-impact,4,1,150,5,90,0,10,2,81,-127,2,-127,22
417,nasty-plot,4,17,-127,20,-127,0,7,1,54,-127,3,-127,11
418,bullet-punch,4,9,40,30,100,1,10,2,104,-127,4,-127,1
419,avalanche,4,15,60,10,100,-4,10,2,186,-127,1,-127,15
420,ice-shard,4,15,40,30,100,1,10,2,104,-127,2,-127,1
421,shadow-claw,4,8,70,15,100,0,10,2,44,-127,3,-127,17
422,thunder-fang,4,13,65,15,95,0,10,2,276,10,4,-127,5
423,ice-fang,4,15,65,15,95,0,10,2,275,10,1,-127,5
424,fire-fang,4,10,65,15,95,0,10,2,274,10,2,-127,5
425,shadow-sneak,4,8,40,30,100,1,10,2,104,-127,4,-127,1
426,mud-bomb,4,5,65,10,85,0,10,3,74,30,4,-127,18
427,psycho-cut,4,14,70,20,100,0,10,2,44,-127,1,-127,17
428,zen-headbutt,4,14,80,15,90,0,10,2,32,20,2,-127,18
429,mirror-shot,4,9,65,10,85,0,10,3,74,30,3,-127,17
430,flash-cannon,4,9,80,10,100,0,10,3,73,10,4,-127,17
431,rock-climb,4,1,90,20,85,0,10,2,77,20,1,-127,18
432,defog,4,3,-127,15,-127,0,10,1,259,-127,2,-127,13
433,trick-room,4,14,-127,5,-127,-7,12,1,260,-127,3,-127,14
434,draco-meteor,4,16,130,5,90,0,10,3,205,100,4,-127,22
435,discharge,4,13,80,15,100,0,9,3,7,30,1,-127,17
436,lava-plume,4,10,80,15,100,0,9,3,5,30,5,-127,17
437,leaf-storm,4,12,130,5,90,0,10,3,205,100,3,-127,22
438,power-whip,4,12,120,10,85,0,10,2,1,-127,2,-127,5
439,rock-wrecker,4,6,150,5,90,0,10,2,81,-127,5,-127,22
440,cross-poison,4,4,70,20,100,0,10,2,210,10,1,-127,5
441,gunk-shot,4,4,120,5,80,0,10,2,3,30,1,-127,5
442,iron-head,4,9,80,15,100,0,10,2,32,30,5,-127,18
443,magnet-bomb,4,9,60,20,-127,0,10,2,18,-127,1,-127,5
444,stone-edge,4,6,100,5,80,0,10,2,44,-127,5,-127,4
445,captivate,4,1,-127,20,100,0,11,1,266,-127,2,-127,19
446,stealth-rock,4,6,-127,20,-127,0,6,1,267,-127,1,-127,13
447,grass-knot,4,12,-127,20,100,0,10,3,197,-127,4,-127,4
448,chatter,4,3,65,20,100,0,10,3,268,100,4,-127,23
449,judgment,4,1,100,10,100,0,10,3,269,-127,4,-127,14
450,bug-bite,4,7,60,20,100,0,10,2,225,-127,5,-127,12
451,charge-beam,4,13,50,10,90,0,10,3,277,70,2,-127,17
452,wood-hammer,4,12,120,15,100,0,10,2,199,-127,5,-127,18
453,aqua-jet,4,11,40,20,100,1,10,2,104,-127,2,-127,1
454,attack-order,4,7,90,15,100,0,10,2,44,-127,4,-127,4
455,defend-order,4,7,-127,10,-127,0,7,1,207,-127,4,-127,11
456,heal-order,4,7,-127,10,-127,0,7,1,33,-127,4,-127,8
457,head-smash,4,6,150,5,80,0,10,2,270,-127,5,-127,22
458,double-hit,4,1,35,10,90,0,10,2,45,-127,4,-127,7
459,roar-of-time,4,16,150,5,90,0,10,3,81,-127,1,-127,22
460,spacial-rend,4,16,100,5,95,0,10,3,44,-127,5,-127,4
461,lunar-dance,4,14,-127,10,-127,0,7,1,271,-127,2,-127,8
462,crush-grip,4,1,-127,5,100,0,10,2,238,-127,5,-127,15
463,magma-storm,4,10,100,5,75,0,10,3,43,100,5,-127,7
464,dark-void,4,17,-127,10,50,0,11,1,2,-127,4,-127,19
465,seed-flare,4,12,120,5,85,0,10,3,272,40,1,-127,22
466,ominous-wind,4,8,60,5,100,0,10,3,141,10,4,-127,11
467,shadow-force,4,8,120,5,100,0,10,2,273,-127,4,-127,22
468,hone-claws,5,17,-127,15,-127,0,7,1,278,-127,,-127,
469,wide-guard,5,6,-127,10,-127,3,4,1,279,-127,,-127,
470,guard-split,5,14,-127,10,-127,0,10,1,280,-127,,-127,
471,power-split,5,14,-127,10,-127,0,10,1,281,-127,,-127,
472,wonder-room,5,14,-127,10,-127,0,12,1,282,-127,,-127,
473,psyshock,5,14,80,10,100,0,10,3,283,-127,,-127,
474,venoshock,5,4,65,10,100,0,10,3,284,-127,,-127,
475,autotomize,5,9,-127,15,-127,0,7,1,285,-127,,-127,
476,rage-powder,5,7,-127,20,-127,2,7,1,173,-127,,-127,
477,telekinesis,5,14,-127,15,-127,0,10,1,286,-127,,-127,
478,magic-room,5,14,-127,10,-127,0,12,1,287,-127,,-127,
479,smack-down,5,6,50,15,100,0,10,2,288,100,-127,,
480,storm-throw,5,2,60,10,100,0,10,2,289,-127,,-127,
481,flame-burst,5,10,70,15,100,0,10,3,290,-127,,-127,
482,sludge-wave,5,4,95,10,100,0,9,3,3,10,-127,,
483,quiver-dance,5,7,-127,20,-127,0,7,1,291,-127,,-127,
484,heavy-slam,5,9,-127,10,100,0,10,2,292,-127,,-127,
485,synchronoise,5,14,120,10,100,0,9,3,293,-127,,-127,
486,electro-ball,5,13,-127,10,100,0,10,3,294,-127,,-127,
487,soak,5,11,-127,20,100,0,10,1,295,-127,,-127,
488,flame-charge,5,10,50,20,100,0,10,2,296,100,-127,,
489,coil,5,4,-127,20,-127,0,7,1,323,-127,,-127,
490,low-sweep,5,2,65,20,100,0,10,2,21,100,-127,,
491,acid-spray,5,4,40,20,100,0,10,3,297,100,-127,,
492,foul-play,5,17,95,15,100,0,10,2,298,-127,,-127,
493,simple-beam,5,1,-127,15,100,0,10,1,299,-127,,-127,
494,entrainment,5,1,-127,15,100,0,10,1,300,-127,,-127,
495,after-you,5,1,-127,15,-127,0,10,1,301,-127,,-127,
496,round,5,1,60,15,100,0,10,3,302,-127,,-127,
497,echoed-voice,5,1,40,15,100,0,10,3,303,-127,,-127,
498,chip-away,5,1,70,20,100,0,10,2,304,-127,,-127,
499,clear-smog,5,4,50,15,-127,0,10,3,305,-127,,-127,
500,stored-power,5,14,20,10,100,0,10,3,306,-127,,-127,
501,quick-guard,5,2,-127,15,-127,3,4,1,307,-127,,-127,
502,ally-switch,5,14,-127,15,-127,2,7,1,308,-127,,-127,
503,scald,5,11,80,15,100,0,10,3,5,30,-127,,
504,shell-smash,5,1,-127,15,-127,0,7,1,309,-127,,-127,
505,heal-pulse,5,14,-127,10,-127,0,10,1,310,-127,,-127,
506,hex,5,8,65,10,100,0,10,3,311,-127,,-127,
507,sky-drop,5,3,60,10,100,0,10,2,312,-127,,-127,
508,shift-gear,5,9,-127,10,-127,0,7,1,313,-127,,-127,
509,circle-throw,5,2,60,10,90,-6,10,2,314,-127,,-127,
510,incinerate,5,10,60,15,100,0,11,3,315,-127,,-127,
511,quash,5,17,-127,15,100,0,10,1,316,-127,,-127,
512,acrobatics,5,3,55,15,100,0,10,2,318,-127,,-127,
513,reflect-type,5,1,-127,15,-127,0,10,1,319,-127,,-127,
514,retaliate,5,1,70,5,100,0,10,2,320,-127,,-127,
515,final-gambit,5,2,-127,5,100,0,10,3,321,-127,,-127,
516,bestow,5,1,-127,15,-127,0,10,1,324,-127,,-127,
517,inferno,5,10,100,5,50,0,10,3,5,100,-127,,
518,water-pledge,5,11,80,10,100,0,10,3,325,-127,,-127,
519,fire-pledge,5,10,80,10,100,0,10,3,326,-127,,-127,
520,grass-pledge,5,12,80,10,100,0,10,3,327,-127,,-127,
521,volt-switch,5,13,70,20,100,0,10,3,229,-127,,-127,
522,struggle-bug,5,7,50,20,100,0,11,3,72,100,-127,,
523,bulldoze,5,5,60,20,100,0,9,2,71,100,-127,,
524,frost-breath,5,15,60,10,90,0,10,3,289,100,-127,,
525,dragon-tail,5,16,60,10,90,-6,10,2,314,-127,,-127,
526,work-up,5,1,-127,30,-127,0,7,1,328,-127,,-127,
527,electroweb,5,13,55,15,95,0,11,3,21,100,-127,,
528,wild-charge,5,13,90,15,100,0,10,2,49,-127,,-127,
529,drill-run,5,5,80,10,95,0,10,2,44,-127,,-127,
530,dual-chop,5,16,40,15,90,0,10,2,45,-127,,-127,
531,heart-stamp,5,14,60,25,100,0,10,2,32,30,-127,,
532,horn-leech,5,12,75,10,100,0,10,2,4,-127,,-127,
533,sacred-sword,5,2,90,15,100,0,10,2,304,-127,,-127,
534,razor-shell,5,11,75,10,95,0,10,2,70,50,-127,,
535,heat-crash,5,10,-127,10,100,0,10,2,292,-127,,-127,
536,leaf-tornado,5,12,65,10,90,0,10,3,74,50,-127,,
537,steamroller,5,7,65,20,100,0,10,2,151,30,-127,,
538,cotton-guard,5,12,-127,10,-127,0,7,1,329,-127,,-127,
539,night-daze,5,17,85,10,95,0,10,3,74,40,-127,,
540,psystrike,5,14,100,10,100,0,10,3,283,-127,,-127,
541,tail-slap,5,1,25,10,85,0,10,2,30,-127,,-127,
542,hurricane,5,3,110,10,70,0,10,3,334,30,-127,,
543,head-charge,5,1,120,15,100,0,10,2,49,-127,,-127,
544,gear-grind,5,9,50,15,85,0,10,2,45,-127,,-127,
545,searing-shot,5,10,100,5,100,0,9,3,5,30,-127,,
546,techno-blast,5,1,120,5,100,0,10,3,269,-127,,-127,
547,relic-song,5,1,75,10,100,0,11,3,330,10,-127,,
548,secret-sword,5,2,85,10,100,0,10,3,283,-127,,-127,
549,glaciate,5,15,65,10,95,0,11,3,331,100,-127,,
550,bolt-strike,5,13,130,5,85,0,10,2,7,20,-127,,
551,blue-flare,5,10,130,5,85,0,10,3,5,20,-127,,
552,fiery-dance,5,10,80,10,100,0,10,3,277,50,-127,,
553,freeze-shock,5,15,140,5,90,0,10,2,332,30,-127,,
554,ice-burn,5,15,140,5,90,0,10,3,333,30,-127,,
555,snarl,5,17,55,15,95,0,11,3,72,100,-127,,
556,icicle-crash,5,15,85,10,90,0,10,2,32,30,-127,,
557,v-create,5,10,180,5,95,0,10,2,335,100,-127,,
558,fusion-flare,5,10,100,5,100,0,10,3,336,-127,,-127,
559,fusion-bolt,5,13,100,5,100,0,10,2,337,-127,,-127,
560,flying-press,6,2,100,10,95,0,10,2,338,-127,,-127,
561,mat-block,6,2,-127,10,-127,0,4,1,377,-127,,-127,
562,belch,6,4,120,10,90,0,10,3,339,-127,,-127,
563,rototiller,6,5,-127,10,-127,0,14,1,340,100,-127,,
564,sticky-web,6,7,-127,20,-127,0,6,1,341,-127,,-127,
565,fell-stinger,6,7,50,25,100,0,10,2,342,-127,,-127,
566,phantom-force,6,8,90,10,100,0,10,2,273,-127,,-127,
567,trick-or-treat,6,8,-127,20,100,0,10,1,343,-127,,-127,
568,noble-roar,6,1,-127,30,100,0,10,1,344,100,-127,,
569,ion-deluge,6,13,-127,25,-127,1,12,1,345,-127,,-127,
570,parabolic-charge,6,13,65,20,100,0,9,3,346,-127,,-127,
571,forests-curse,6,12,-127,20,100,0,10,1,376,-127,,-127,
572,petal-blizzard,6,12,90,15,100,0,9,2,379,-127,,-127,
573,freeze-dry,6,15,70,20,100,0,10,3,380,10,-127,,
574,disarming-voice,6,18,40,15,-127,0,11,3,381,-127,,-127,
575,parting-shot,6,17,-127,20,100,0,10,1,347,100,-127,,
576,topsy-turvy,6,17,-127,20,-127,0,10,1,348,-127,,-127,
577,draining-kiss,6,18,50,10,100,0,10,3,349,-127,,-127,
578,crafty-shield,6,18,-127,10,-127,3,4,1,350,-127,,-127,
579,flower-shield,6,18,-127,10,-127,0,14,1,351,100,-127,,
580,grassy-terrain,6,12,-127,10,-127,0,12,1,352,-127,,-127,
581,misty-terrain,6,18,-127,10,-127,0,12,1,353,-127,,-127,
582,electrify,6,13,-127,20,-127,0,10,1,354,-127,,-127,
583,play-rough,6,18,90,10,90,0,10,2,69,10,-127,,
584,fairy-wind,6,18,40,30,100,0,10,3,1,-127,,-127,
585,moonblast,6,18,95,15,100,0,10,3,72,30,-127,,
586,boomburst,6,1,140,10,100,0,9,3,379,-127,,-127,
587,fairy-lock,6,18,-127,10,-127,0,12,1,355,-127,,-127,
588,kings-shield,6,9,-127,10,-127,4,7,1,356,-127,,-127,
589,play-nice,6,1,-127,20,-127,0,10,1,357,100,-127,,
590,confide,6,1,-127,20,-127,0,10,1,358,100,-127,,
591,diamond-storm,6,6,100,5,95,0,11,2,359,50,-127,,
592,steam-eruption,6,11,110,5,95,0,10,3,5,30,-127,,
593,hyperspace-hole,6,14,80,5,-127,0,10,3,360,-127,,-127,
594,water-shuriken,6,11,15,20,100,1,10,3,361,-127,,-127,
595,mystical-fire,6,10,75,10,100,0,10,3,72,100,-127,,
596,spiky-shield,6,12,-127,10,-127,4,7,1,362,-127,,-127,
597,aromatic-mist,6,18,-127,20,-127,0,3,1,363,-127,,-127,
598,eerie-impulse,6,13,-127,15,100,0,10,1,62,-127,,-127,
599,venom-drench,6,4,-127,20,100,0,11,1,364,100,-127,,
600,powder,6,7,-127,20,100,1,10,1,378,-127,,-127,
601,geomancy,6,18,-127,10,-127,0,7,1,366,-127,,-127,
602,magnetic-flux,6,13,-127,20,-127,0,13,1,367,-127,,-127,
603,happy-hour,6,1,-127,30,-127,0,4,1,368,-127,,-127,
604,electric-terrain,6,13,-127,10,-127,0,12,1,369,-127,,-127,
605,dazzling-gleam,6,18,80,10,100,0,11,3,1,-127,,-127,
606,celebrate,6,1,-127,40,-127,0,7,1,370,-127,,-127,
607,hold-hands,6,1,-127,40,-127,0,3,1,371,-127,,-127,
608,baby-doll-eyes,6,18,-127,30,100,1,10,1,365,-127,,-127,
609,nuzzle,6,13,20,20,100,0,10,2,372,100,-127,,
610,hold-back,6,1,40,40,100,0,10,2,102,-127,,-127,
611,infestation,6,7,20,20,100,0,10,3,43,100,-127,,
612,power-up-punch,6,2,40,20,100,0,10,2,375,100,-127,,
613,oblivion-wing,6,3,80,10,100,0,10,3,349,-127,,-127,
614,thousand-arrows,6,5,90,10,100,0,11,2,373,100,-127,,
615,thousand-waves,6,5,90,10,100,0,11,2,374,-127,,-127,
616,lands-wrath,6,5,90,10,100,0,11,2,1,-127,,-127,
617,light-of-ruin,6,18,140,5,90,0,10,3,270,-127,,-127,
618,origin-pulse,6,11,110,10,85,0,11,3,1,-127,,-127,
619,precipice-blades,6,5,120,10,85,0,11,2,1,-127,,-127,
620,dragon-ascent,6,3,120,5,100,0,10,2,230,100,-127,,
621,hyperspace-fury,6,17,100,5,-127,0,10,2,360,100,-127,,
622,breakneck-blitz--physical,7,1,-127,1,-127,0,10,2,1,-127,,-127,
623,breakneck-blitz--special,7,1,-127,1,-127,0,10,3,1,-127,,-127,
624,all-out-pummeling--physical,7,2,-127,1,-127,0,10,2,1,-127,,-127,
625,all-out-pummeling--special,7,2,-127,1,-127,0,10,3,1,-127,,-127,
626,supersonic-skystrike--physical,7,3,-127,1,-127,0,10,2,1,-127,,-127,
627,supersonic-skystrike--special,7,3,-127,1,-127,0,10,3,1,-127,,-127,
628,acid-downpour--physical,7,4,-127,1,-127,0,10,2,1,-127,,-127,
629,acid-downpour--special,7,4,-127,1,-127,0,10,3,1,-127,,-127,
630,tectonic-rage--physical,7,5,-127,1,-127,0,10,2,1,-127,,-127,
631,tectonic-rage--special,7,5,-127,1,-127,0,10,3,1,-127,,-127,
632,continental-crush--physical,7,6,-127,1,-127,0,10,2,1,-127,,-127,
633,continental-crush--special,7,6,-127,1,-127,0,10,3,1,-127,,-127,
634,savage-spin-out--physical,7,7,-127,1,-127,0,10,2,1,-127,,-127,
635,savage-spin-out--special,7,7,-127,1,-127,0,10,3,1,-127,,-127,
636,never-ending-nightmare--physical,7,8,-127,1,-127,0,10,2,1,-127,,-127,
637,never-ending-nightmare--special,7,8,-127,1,-127,0,10,3,1,-127,,-127,
638,corkscrew-crash--physical,7,9,-127,1,-127,0,10,2,1,-127,,-127,
639,corkscrew-crash--special,7,9,-127,1,-127,0,10,3,1,-127,,-127,
640,inferno-overdrive--physical,7,10,-127,1,-127,0,10,2,1,-127,,-127,
641,inferno-overdrive--special,7,10,-127,1,-127,0,10,3,1,-127,,-127,
642,hydro-vortex--physical,7,11,-127,1,-127,0,10,2,1,-127,,-127,
643,hydro-vortex--special,7,11,-127,1,-127,0,10,3,1,-127,,-127,
644,bloom-doom--physical,7,12,-127,1,-127,0,10,2,1,-127,,-127,
645,bloom-doom--special,7,12,-127,1,-127,0,10,3,1,-127,,-127,
646,gigavolt-havoc--physical,7,13,-127,1,-127,0,10,2,1,-127,,-127,
647,gigavolt-havoc--special,7,13,-127,1,-127,0,10,3,1,-127,,-127,
648,shattered-psyche--physical,7,14,-127,1,-127,0,10,2,1,-127,,-127,
649,shattered-psyche--special,7,14,-127,1,-127,0,10,3,1,-127,,-127,
650,subzero-slammer--physical,7,15,-127,1,-127,0,10,2,1,-127,,-127,
651,subzero-slammer--special,7,15,-127,1,-127,0,10,3,1,-127,,-127,
652,devastating-drake--physical,7,16,-127,1,-127,0,10,2,1,-127,,-127,
653,devastating-drake--special,7,16,-127,1,-127,0,10,3,1,-127,,-127,
654,black-hole-eclipse--physical,7,17,-127,1,-127,0,10,2,1,-127,,-127,
655,black-hole-eclipse--special,7,17,-127,1,-127,0,10,3,1,-127,,-127,
656,twinkle-tackle--physical,7,18,-127,1,-127,0,10,2,1,-127,,-127,
657,twinkle-tackle--special,7,18,-127,1,-127,0,10,3,1,-127,,-127,
658,catastropika,7,13,210,1,-127,0,10,2,1,-127,,-127,
659,shore-up,7,5,-127,10,-127,0,7,1,382,-127,,-127,
660,first-impression,7,7,90,10,100,2,10,2,383,-127,,-127,
661,baneful-bunker,7,4,-127,10,-127,4,7,1,384,-127,,-127,
662,spirit-shackle,7,8,80,10,100,0,10,2,385,-127,,-127,
663,darkest-lariat,7,17,85,10,100,0,10,2,304,-127,,-127,
664,sparkling-aria,7,11,90,10,100,0,9,3,386,-127,,-127,
665,ice-hammer,7,15,100,10,90,0,10,2,219,100,-127,,
666,floral-healing,7,18,-127,10,-127,0,10,1,387,-127,,-127,
667,high-horsepower,7,5,95,10,95,0,10,2,1,-127,,-127,
668,strength-sap,7,12,-127,10,100,0,10,1,388,100,-127,,
669,solar-blade,7,12,125,10,100,0,10,2,152,-127,,-127,
670,leafage,7,12,40,40,100,0,10,2,1,-127,,-127,
671,spotlight,7,1,-127,15,-127,3,10,1,389,-127,,-127,
672,toxic-thread,7,4,-127,20,100,0,10,1,390,100,-127,,
673,laser-focus,7,1,-127,30,-127,0,7,1,391,-127,,-127,
674,gear-up,7,9,-127,20,-127,0,13,1,392,-127,,-127,
675,throat-chop,7,17,80,15,100,0,10,2,393,100,-127,,
676,pollen-puff,7,7,90,15,100,0,10,3,394,-127,,-127,
677,anchor-shot,7,9,80,20,100,0,10,2,385,-127,,-127,
678,psychic-terrain,7,14,-127,10,-127,0,12,1,395,-127,,-127,
679,lunge,7,7,80,15,100,0,10,2,396,100,-127,,
680,fire-lash,7,10,80,15,100,0,10,2,397,100,-127,,
681,power-trip,7,17,20,10,100,0,10,2,306,-127,,-127,
682,burn-up,7,10,130,5,100,0,10,3,398,-127,,-127,
683,speed-swap,7,14,-127,10,-127,0,10,1,399,-127,,-127,
684,smart-strike,7,9,70,10,-127,0,10,2,18,-127,,-127,
685,purify,7,4,-127,20,-127,0,10,1,400,-127,,-127,
686,revelation-dance,7,1,90,15,100,0,10,3,401,-127,,-127,
687,core-enforcer,7,16,100,10,100,0,11,3,402,-127,,-127,
688,trop-kick,7,12,70,15,100,0,10,2,396,100,-127,,
689,instruct,7,14,-127,15,-127,0,10,1,403,-127,,-127,
690,beak-blast,7,3,100,15,100,-3,10,2,404,-127,,-127,
691,clanging-scales,7,16,110,5,100,0,11,3,405,100,-127,,
692,dragon-hammer,7,16,90,15,100,0,10,2,1,-127,,-127,
693,brutal-swing,7,17,60,20,100,0,9,2,406,-127,,-127,
694,aurora-veil,7,15,-127,20,-127,0,4,1,407,-127,,-127,
695,sinister-arrow-raid,7,8,180,1,-127,0,10,2,1,-127,,-127,
696,malicious-moonsault,7,17,180,1,-127,0,10,2,1,-127,,-127,
697,oceanic-operetta,7,11,195,1,-127,0,10,3,1,-127,,-127,
698,guardian-of-alola,7,18,-127,1,-127,0,10,3,413,-127,,-127,
699,soul-stealing-7-star-strike,7,8,195,1,-127,0,10,2,1,-127,,-127,
700,stoked-sparksurfer,7,13,175,1,-127,0,10,3,7,100,-127,,
701,pulverizing-pancake,7,1,210,1,-127,0,10,2,1,-127,,-127,
702,extreme-evoboost,7,1,-127,1,-127,0,7,1,414,100,-127,,
703,genesis-supernova,7,14,185,1,-127,0,10,3,415,-127,,-127,
704,shell-trap,7,10,150,5,100,-3,11,3,408,-127,,-127,
705,fleur-cannon,7,18,130,5,90,0,10,3,205,100,-127,,
706,psychic-fangs,7,14,85,10,100,0,10,2,187,-127,,-127,
707,stomping-tantrum,7,5,75,10,100,0,10,2,409,-127,,-127,
708,shadow-bone,7,8,85,10,100,0,10,2,70,20,-127,,
709,accelerock,7,6,40,20,100,1,10,2,104,-127,,-127,
710,liquidation,7,11,85,10,100,0,10,2,70,20,-127,,
711,prismatic-laser,7,14,160,10,100,0,10,3,81,-127,,-127,
712,spectral-thief,7,8,90,10,100,0,10,2,410,-127,,-127,
713,sunsteel-strike,7,9,100,5,100,0,10,2,411,-127,,-127,
714,moongeist-beam,7,8,100,5,100,0,10,3,411,-127,,-127,
715,tearful-look,7,1,-127,20,-127,0,10,1,412,100,-127,,
716,zing-zap,7,13,80,10,100,0,10,2,32,30,-127,,
717,natures-madness,7,18,-127,10,90,0,10,3,41,-127,,-127,
718,multi-attack,7,1,120,10,100,0,10,2,269,-127,,-127,
719,10-000-000-volt-thunderbolt,7,13,195,1,-127,0,10,3,1,-127,,-127,
720,mind-blown,7,10,150,5,100,0,9,3,420,-127,,-127,
721,plasma-fists,7,13,100,15,100,0,10,2,1,-127,,-127,
722,photon-geyser,7,14,100,5,100,0,10,3,1,-127,,-127,
723,light-that-burns-the-sky,7,14,200,1,-127,0,10,3,416,-127,,-127,
724,searing-sunraze-smash,7,9,200,1,-127,0,10,2,411,-127,,-127,
725,menacing-moonraze-maelstrom,7,8,200,1,-127,0,10,3,411,-127,,-127,
726,lets-snuggle-forever,7,18,190,1,-127,0,10,2,417,-127,,-127,
727,splintered-stormshards,7,6,190,1,-127,0,10,2,418,-127,,-127,
728,clangorous-soulblaze,7,16,185,1,-127,0,11,3,419,100,-127,,
729,zippy-zap,7,13,80,10,100,2,10,2,1,100,-127,,
730,splishy-splash,7,11,90,15,100,0,11,3,1,30,-127,,
731,floaty-fall,7,3,90,15,95,0,10,2,1,30,-127,,
732,pika-papow,7,13,-127,20,-127,0,10,3,1,-127,,-127,
733,bouncy-bubble,7,11,60,20,100,0,10,3,1,-127,,-127,
734,buzzy-buzz,7,13,60,20,100,0,10,3,1,100,-127,,
735,sizzly-slide,7,10,60,20,100,0,10,2,1,100,-127,,
736,glitzy-glow,7,14,80,15,95,0,10,3,1,-127,,-127,
737,baddy-bad,7,17,80,15,95,0,10,3,1,-127,,-127,
738,sappy-seed,7,12,100,10,90,0,10,2,1,100,-127,,
739,freezy-frost,7,15,100,10,90,0,10,3,1,-127,,-127,
740,sparkly-swirl,7,18,120,5,85,0,10,3,1,-127,,-127,
741,veevee-volley,7,1,-127,20,-127,0,10,2,1,-127,,-127,
742,double-iron-bash,7,9,60,5,100,0,10,2,45,30,-127,,
743,max-guard,8,1,-127,10,-127,4,7,1,112,-127,,-127,
744,dynamax-cannon,8,16,100,5,100,0,10,3,421,-127,,-127,
745,snipe-shot,8,11,80,15,100,0,10,3,422,-127,,-127,
746,jaw-lock,8,17,80,10,100,0,10,2,423,-127,,-127,
747,stuff-cheeks,8,1,-127,10,-127,0,7,1,424,100,-127,,
748,no-retreat,8,2,-127,5,-127,0,7,1,425,100,-127,,
749,tar-shot,8,6,-127,15,100,0,10,1,426,100,-127,,
750,magic-powder,8,14,-127,20,100,0,10,1,427,-127,,-127,
751,dragon-darts,8,16,50,10,100,0,10,2,428,-127,,-127,
752,teatime,8,1,-127,10,-127,0,14,1,429,-127,,-127,
753,octolock,8,2,-127,15,100,0,10,1,430,-127,,-127,
754,bolt-beak,8,13,85,10,100,0,10,2,431,-127,,-127,
755,fishious-rend,8,11,85,10,100,0,10,2,431,-127,,-127,
756,court-change,8,1,-127,10,100,0,12,1,432,-127,,-127,
757,max-flare,8,10,100,10,-127,0,2,2,1,-127,,-127,
758,max-flutterby,8,7,10,10,-127,0,2,2,1,-127,,-127,
759,max-lightning,8,13,10,10,-127,0,2,2,1,-127,,-127,
760,max-strike,8,1,10,10,-127,0,2,2,1,-127,,-127,
761,max-knuckle,8,2,10,10,-127,0,2,2,1,-127,,-127,
762,max-phantasm,8,8,10,10,-127,0,2,2,1,-127,,-127,
763,max-hailstorm,8,15,10,10,-127,0,2,2,1,-127,,-127,
764,max-ooze,8,4,10,10,-127,0,2,2,1,-127,,-127,
765,max-geyser,8,11,10,10,-127,0,2,2,1,-127,,-127,
766,max-airstream,8,3,10,10,-127,0,2,2,1,-127,,-127,
767,max-starfall,8,18,10,10,-127,0,2,2,1,-127,,-127,
768,max-wyrmwind,8,16,10,10,-127,0,2,2,1,-127,,-127,
769,max-mindstorm,8,14,10,10,-127,0,2,2,1,-127,,-127,
770,max-rockfall,8,6,10,10,-127,0,2,2,1,-127,,-127,
771,max-quake,8,5,10,10,-127,0,2,2,1,-127,,-127,
772,max-darkness,8,17,10,10,-127,0,2,2,1,-127,,-127,
773,max-overgrowth,8,12,10,10,-127,0,2,2,1,-127,,-127,
774,max-steelspike,8,9,10,10,-127,0,2,2,1,-127,,-127,
775,clangorous-soul,8,16,-127,5,100,0,7,1,433,100,-127,,
776,body-press,8,2,80,10,100,0,10,2,434,-127,,-127,
777,decorate,8,18,-127,15,-127,0,10,1,435,100,-127,,
778,drum-beating,8,12,80,10,100,0,10,2,71,100,-127,,
779,snap-trap,8,12,35,15,100,0,10,2,43,100,-127,,
780,pyro-ball,8,10,120,5,90,0,10,2,5,10,-127,,
781,behemoth-blade,8,9,100,5,100,0,10,2,436,-127,,-127,
782,behemoth-bash,8,9,100,5,100,0,10,2,436,-127,,-127,
783,aura-wheel,8,13,110,10,100,0,10,2,437,100,-127,,
784,breaking-swipe,8,16,60,15,100,0,11,2,396,100,-127,,
785,branch-poke,8,12,40,40,100,0,10,2,1,-127,,-127,
786,overdrive,8,13,80,10,100,0,11,3,439,-127,,-127,
787,apple-acid,8,12,80,10,100,0,10,3,440,100,-127,,
